platform,risk_flag,url,text_for_sentiment,sentiment_family
Instagram,unanswered_question,https://www.instagram.com/p/DRL11BkkT1X/,apa ada fasilitas sertifikat kak ?,neutral
Instagram,unanswered_question,https://www.instagram.com/p/DQnqXKQkp6I/,Tetap semangat,positive
Instagram,unanswered_question,https://www.instagram.com/p/DQnqXKQkp6I/,"Akhirnya semangat kolaborasi, tapi semoga tulus dan terbuka.",positive
Instagram,deforestation_criticism,https://www.instagram.com/p/DP0DNlbkjqm/,Selesaikan secepat nya timpang tindih sertifikat hak milik dgn kawasan hutan,neutral
Instagram,unanswered_question,https://www.instagram.com/p/DP0DNlbkjqm/,Salam Coll Tapak..sukses bu Kapus,positive
Instagram,conflict_land_tenure,https://www.instagram.com/p/DOsGpJXEVLL/,Kapan untuk Bengkalis Riau ?,neutral
Instagram,unanswered_question,https://www.instagram.com/p/DOsGpJXEVLL/,Kapan untuk Bengkalis Riau ?,neutral
Instagram,conflict_land_tenure,https://www.instagram.com/p/DOsGpJXEVLL/,Apakah pameran di lapangan banteng masih berlangsung?,neutral
Instagram,unanswered_question,https://www.instagram.com/p/DOsGpJXEVLL/,Apakah pameran di lapangan banteng masih berlangsung?,neutral
Instagram,unanswered_question,https://www.instagram.com/p/DNiOb_2RBW1/,Gmn cara klik link zoom ya kak?,neutral
Instagram,unanswered_question,https://www.instagram.com/p/DNiOb_2RBW1/,Maaf gimana caranya daftar,neutral
Instagram,conflict_land_tenure,https://www.instagram.com/p/DM7UqqPvdw6/,"Agro forestri, paru2 sehat, lahan subur bebas dari ancaman bencana",negative
Instagram,climate_impact_concern,https://www.instagram.com/p/DM7UqqPvdw6/,"Agro forestri, paru2 sehat, lahan subur bebas dari ancaman bencana",negative
Instagram,unanswered_question,https://www.instagram.com/p/DM7UqqPvdw6/,"Hutan hijau langit biru, gambut aman bernapas nyaman🌿🌲🌳",positive
Instagram,unanswered_question,https://www.instagram.com/p/DMZJ4AFvljI/,"Min, ga semua provinsi boleh ikut ya min..?",neutral
Instagram,unanswered_question,https://www.instagram.com/p/DL1eVMfx7vm/,Apakah ada sertifikat?,neutral
Instagram,unanswered_question,https://www.instagram.com/p/DLRlSNGv--j/,JUSTICE FOR JULIANA MARINS! 🇧🇷💔,neutral
Instagram,unanswered_question,https://www.instagram.com/p/DLRlSNGv--j/,DONT GO TO INDONESIA!!!,neutral
Instagram,unanswered_question,https://www.instagram.com/p/DLRlSNGv--j/,Assassins de merde!,neutral
Instagram,unanswered_question,https://www.instagram.com/p/DLRlSNGv--j/,Cadê a Juliana???,neutral
Instagram,unanswered_question,https://www.instagram.com/p/DLRlSNGv--j/,Cadê a Juliana?? Salvem a Juliana,neutral
Instagram,unanswered_question,https://www.instagram.com/p/DLRlSNGv--j/,Dpt e-sertifikat min ?,neutral
Instagram,unanswered_question,https://www.instagram.com/p/DKvmEAGP92_/,Salam Lestari🔥,positive
Instagram,unanswered_question,https://www.instagram.com/p/DKHDKfYPz5K/,Backsound nya pake jingle folu kak... Biar makin kece 😉,neutral
Instagram,unanswered_question,https://www.instagram.com/p/DKHDKfYPz5K/,Flyer acara kementerian🔥,neutral
YouTube,unanswered_question,https://www.youtube.com/watch?v=UZBbIeLsnMI,Hadir nyimak,positive
YouTube,unanswered_question,https://www.youtube.com/watch?v=UZBbIeLsnMI,LPHD Tampelas hadir dan menyimak,positive
YouTube,unanswered_question,https://www.youtube.com/watch?v=UZBbIeLsnMI,Hadir dan menyimak 🙏,positive
YouTube,unanswered_question,https://www.youtube.com/watch?v=UZBbIeLsnMI,"Di tempat kami hutan habiz d babat pembalakn liar pak,,airterjun objek wisata d tempat kami yg biasanya airnya besar sekr sudah kecil sekali karena penebang liar ...saya ingin sekali menghijaukan kembali hutan kami pak ,,mohon bantuannya pak ,,sebelum semua daerah kami d gunduli penebang liar 👏👏",positive
YouTube,unanswered_question,https://www.youtube.com/watch?v=UZBbIeLsnMI,Ada link materinya?,neutral
YouTube,unanswered_question,https://www.youtube.com/watch?v=UZBbIeLsnMI,Boleh minta Link materinya kak,neutral
YouTube,unanswered_question,https://www.youtube.com/watch?v=UZBbIeLsnMI,Raja ampat bgmn ya??,neutral
YouTube,unanswered_question,https://www.youtube.com/watch?v=UZBbIeLsnMI,"Malu2in minta video gratisan😂,dia aja bayar malah elu minta gratisan.. ngaca sono",neutral
YouTube,unanswered_question,https://www.youtube.com/watch?v=r8wyfC80JHk,Manfaatnya apa acara begini untuk masyarakat?,neutral
YouTube,unanswered_question,https://www.youtube.com/watch?v=r8wyfC80JHk,Nyawa manusia tidak lebih berharga dari pohon eh salah tanaman kelapa sawit,neutral
